zone,point_origin_lat,point_origin_lon,speed,free_flow_speed,congestion_level,timestamp
Hay hassani sud,33.571620861,-7.6685339128,33,33,410,2025-08-12T01:40:41.912008
Lissasfa Nord,33.5485247,-7.6639191,36,36,870,2025-08-12T01:40:43.209972
Lissasfa Nord,33.5562318144,-7.64903540513,33,33,338,2025-08-12T01:40:44.560882
Hay salam,33.54415122974,-7.68403204553,30,30,734,2025-08-12T01:40:45.871181
Hay Hassani nord,33.5655409,-7.6827195,30,30,734,2025-08-12T01:40:47.194853
Hay Hassani nord,33.57189024429,-7.68643741678,41,41,1043,2025-08-12T01:40:48.491178
Oulfa,33.56153494925,-7.66872235115,36,36,870,2025-08-12T01:40:49.813292
CFC,33.5680901775,-7.66753610367,25,25,135,2025-08-12T01:40:51.139872
